season,week,contestant,voting_method,p_wrongful,p_correct,ci_lower,ci_upper,n_samples,wrongful_count,correct_count,classification,fan_vote_lower,fan_vote_upper,fan_vote_mean,fan_vote_median
1,2,Trista Sutter,rank,0.927,0.073,0.9194568807206823,0.9338874777418239,5000,4635,365,Uncertain,0.04999999999999999,0.95,0.16267303764381996,0.1487589315000124
1,3,Evander Holyfield,rank,0.3308,0.6692,0.3178926326388261,0.34396716723973125,5000,1654,3346,Uncertain,0.06,0.94,0.16541547608254858,0.14611000499943455
1,4,Rachel Hunter,rank,0.9322,0.0678,0.9248944455304107,0.9388419285386647,5000,4661,339,Uncertain,0.044999999999999984,0.9550000000000001,0.2614792123414076,0.2500249872350916
2,1,Kenny Mayne,rank,0.9758,0.0242,0.9711612037673606,0.9797082242337177,5000,4879,121,Definite-Wrongful,0.056999999999999995,0.9430000000000001,0.11772350038213882,0.0768707082130542
2,2,Tatum O'Neal,rank,0.7284,0.2716,0.7158993333380734,0.7405499675350797,5000,3642,1358,Uncertain,0.05666666666666664,0.9433333333333334,0.1134061044382079,0.10082946434175526
2,3,Giselle Fernandez,rank,0.8726,0.1274,0.8630711192853653,0.8815567682161096,5000,4363,637,Uncertain,0.048750000000000016,0.9512499999999999,0.12247239559247544,0.11079781836821499
2,4,Master P,rank,0.3512,0.6488,0.3380874875477121,0.364540988941232,5000,1756,3244,Uncertain,0.06,0.94,0.12363870063336042,0.10907727727526019
2,5,Tia Carrere,rank,0.492,0.508,0.4781539421100623,0.5058583415721392,5000,2460,2540,Uncertain,0.06,0.94,0.1627255985043225,0.14720913465672208
2,6,George Hamilton,rank,0.5594,0.4406,0.5455984604481753,0.5731103332114801,5000,2797,2203,Uncertain,0.05399999999999999,0.946,0.1878587818560225,0.1735916874942142
2,7,Lisa Rinna,rank,0.8032,0.1968,0.791948644315835,0.8139858041287362,5000,4016,984,Uncertain,0.05249999999999999,0.9475,0.2574428940151028,0.24447663136689574
3,1,Tucker Carlson,percent,0.5164,0.4836,0.5025408860439133,0.530233932407574,5000,2582,2418,Uncertain,0.009999000000000001,0.12521459005145796,0.057448904161481094,0.054027376886124315
3,2,Shanna Moakler,percent,0.79,0.21,0.7784894887016339,0.8010652278185694,5000,3950,1050,Uncertain,0.009999000000000001,0.10434802608695652,0.05749345256049123,0.056682919767082396
3,3,Harry Hamlin,percent,0.7852,0.2148,0.7735997409773634,0.7963623457521607,5000,3926,1074,Uncertain,0.009999000000000001,0.11594225120772947,0.06505429516870151,0.06477387544619492
3,4,Vivica A. Fox,percent,0.7736,0.2264,0.7617922461754436,0.7849876518932721,5000,3868,1132,Uncertain,0.009999000000000001,0.1287881287878788,0.07449968098664901,0.07551700326565045
3,5,Willa Ford,percent,0.7818,0.2182,0.7701375653228774,0.7930297419715823,5000,3909,1091,Uncertain,0.009999000000000001,0.13654330071033938,0.08287396261810596,0.08454521991330244
3,7,Jerry Springer,percent,0.4506,0.5494,0.43685168508865085,0.4644241666489422,5000,2253,2747,Uncertain,0.009999000000000001,0.22963002962962967,0.13161725440793262,0.13209773151352255
3,8,Monique Coleman,percent,0.5048,0.4952,0.49094298101959694,0.5186496487710823,5000,2524,2476,Uncertain,0.009999000000000001,0.2568812339449541,0.16758024848408914,0.17276813568806212
4,2,Paulina Porizkova,percent,0.8062,0.1938,0.7950101678865081,0.8169196741772377,5000,4031,969,Uncertain,0.009999000000000001,0.09610407792207794,0.05225384341604397,0.051411209462567116
4,3,Shandi Finnessey,percent,0.794,0.206,0.7825660779184023,0.8049824967607004,5000,3970,1030,Uncertain,0.009999000000000001,0.10366992477064223,0.05722662505459084,0.056330263968973324
4,4,Leeza Gibbons,percent,0.6652,0.3348,0.6519966092733439,0.6781497326891995,5000,3326,1674,Uncertain,0.009999000000000001,0.13801191812865496,0.06905275763428412,0.06675249601942089
4,5,Clyde Drexler,percent,0.4458,0.5542,0.43206921281239136,0.4596140091345225,5000,2229,2771,Uncertain,0.009999000000000001,0.17613661363636365,0.07963009538803398,0.07416595220797845
4,6,Heather Mills,percent,0.724,0.276,0.7114409189709293,0.7362151379274345,5000,3620,1380,Uncertain,0.009999000000000001,0.15042045378151261,0.0877738252858692,0.08962088894517337
4,7,John Ratzenberger,percent,0.6208,0.3792,0.6072633775869273,0.6341511388118334,5000,3104,1896,Uncertain,0.009999000000000001,0.18770259870550163,0.10675478268654838,0.10759118948521644
4,8,Billy Ray Cyrus,percent,0.3864,0.6136,0.37299526787981135,0.39997916040744713,5000,1932,3068,Uncertain,0.009999000000000001,0.24860597768924303,0.13612785257272397,0.13494413088342747
4,9,Ian Ziering,percent,0.5228,0.4772,0.5089429240846676,0.5366220674210588,5000,2614,2386,Uncertain,0.009999000000000001,0.2552747616033755,0.16901364078729875,0.17475890316935144
5,1,Josie Maran,percent,0.6304,0.3696,0.6169249879637615,0.6436747880163574,5000,3152,1848,Uncertain,0.009999000000000001,0.10441002399481193,0.05213788447181064,0.04972434151845034
5,2,Albert Reed,percent,0.8306,0.1694,0.8199497060683745,0.8407426707646573,5000,4153,847,Uncertain,0.009999000000000001,0.09358306951871659,0.052090274944754114,0.05170191552321358
5,3,Wayne Newton,percent,0.5928,0.4072,0.5791153038981784,0.6063422053882865,5000,2964,2036,Uncertain,0.009999000000000001,0.1246863924686192,0.06265652888336211,0.06050274704540627
5,4,Floyd Mayweather Jr. ,percent,0.694,0.306,0.6810815487747273,0.7066205719318914,5000,3470,1530,Uncertain,0.009999000000000001,0.12393184615384617,0.06703795667331765,0.0662051840450491
5,5,Mark Cuban,percent,0.6436,0.3564,0.6302189832086742,0.6567605246958126,5000,3218,1782,Uncertain,0.009999000000000001,0.14447261180904522,0.07755736320102305,0.07640835258918469
5,6,Sabrina Bryan,percent,0.7414,0.2586,0.7290809068724198,0.7533484330171563,5000,3707,1293,Uncertain,0.009999000000000001,0.1468256825396825,0.08695948187798813,0.08761409480855484
5,7,Jane Seymour,percent,0.6416,0.3584,0.6282040423989482,0.6547785364260889,5000,3208,1792,Uncertain,0.009999000000000001,0.17307725641025642,0.1030437376883664,0.1052871042137959
5,8,Cameron Mathison,percent,0.6258,0.3742,0.6122947640827537,0.639112075014631,5000,3129,1871,Uncertain,0.009999000000000001,0.20608405019011408,0.12971696409233904,0.13342179684517552
5,9,Jennie Garth,percent,0.5404,0.4596,0.526560274929188,0.5541776924756954,5000,2702,2298,Uncertain,0.009999000000000001,0.25213725213675214,0.16807254145539524,0.17336477998295663
6,2,Monica Seles,percent,0.6462,0.3538,0.6328387831413795,0.6593367325663919,5000,3231,1769,Uncertain,0.009999000000000001,0.11653007216130173,0.0551762962450217,0.051755600640075235
6,2,Penn Jillette,percent,0.7808,0.2192,0.7691194952414317,0.792049347513303,5000,3904,1096,Uncertain,0.009999000000000001,0.10945543473646978,0.05435162992036942,0.052106316592275596
6,3,Steve Guttenberg,percent,0.7732,0.2268,0.7613853218041645,0.7845951904486613,5000,3866,1134,Uncertain,0.009999000000000001,0.10789493684210526,0.05913806327497574,0.05829827442741756
6,4,Adam Carolla,percent,0.5682,0.4318,0.5544230505099891,0.5818722310992449,5000,2841,2159,Uncertain,0.009999000000000001,0.13777799999999998,0.06996585540128113,0.06738602862240109
6,5,Priscilla Presley,percent,0.6446,0.3554,0.6312265480537086,0.657751424390503,5000,3223,1777,Uncertain,0.009999000000000001,0.14285739285714286,0.07646205070642224,0.07541014426474196
6,6,Marlee Matlin,percent,0.563,0.437,0.5492079889123116,0.5766952770903531,5000,2815,2185,Uncertain,0.009999000000000001,0.16904790476190476,0.0913904140474293,0.09061818043184372
6,7,Shannon Elizabeth,percent,0.7036,0.2964,0.6907893517384325,0.7160980285495446,5000,3518,1482,Uncertain,0.009999000000000001,0.1682851229773463,0.10333411150483121,0.10593365994064566
6,8,Mario,percent,0.6398,0.3602,0.626390810354662,0.6529945322988704,5000,3199,1801,Uncertain,0.009999000000000001,0.20149852734082394,0.12874670215172643,0.13294295597749517
6,9,Marissa Jaret Winokur,percent,0.4702,0.5298,0.45639351529456496,0.48405224142163494,5000,2351,2649,Uncertain,0.009999000000000001,0.26363686363636357,0.16951181030987958,0.1747478790813944
